class_id,subject_id,teacher_id,class_name,date_from,date_to
sprs_508207_class_658,sprs_508207_subject_131,sprs_508207_teacher_048,6,7/3/2009,11/15/2008
sprs_508207_class_192,sprs_508207_subject_021,sprs_508207_teacher_696,6,12/14/2010,3/21/2008
sprs_508207_class_423,sprs_508207_subject_393,sprs_508207_teacher_793,7,9/5/2009,11/29/2008
sprs_508207_class_153,sprs_508207_subject_059,sprs_508207_teacher_726,7,11/13/2016,11/8/2014
sprs_508207_class_733,sprs_508207_subject_284,sprs_508207_teacher_493,7,10/5/2005,10/8/2013
sprs_508207_class_236,sprs_508207_subject_885,sprs_508207_teacher_826,6,6/2/2000,2/8/2001
sprs_508207_class_592,sprs_508207_subject_496,sprs_508207_teacher_158,9,11/15/2009,6/14/2012
sprs_508207_class_383,sprs_508207_subject_275,sprs_508207_teacher_443,9,8/29/2004,1/8/2014
sprs_508207_class_481,sprs_508207_subject_276,sprs_508207_teacher_665,10,10/11/2004,10/5/2012
sprs_508207_class_130,sprs_508207_subject_035,sprs_508207_teacher_635,6,7/16/2012,9/4/2011
sprs_508207_class_876,sprs_508207_subject_189,sprs_508207_teacher_660,6,1/19/2012,10/29/2017
sprs_508207_class_958,sprs_508207_subject_955,sprs_508207_teacher_407,6,3/13/2004,8/5/2009
sprs_508207_class_011,sprs_508207_subject_732,sprs_508207_teacher_695,8,10/9/2007,9/27/2005
sprs_508207_class_219,sprs_508207_subject_528,sprs_508207_teacher_680,9,1/31/2006,10/26/2003
sprs_508207_class_809,sprs_508207_subject_573,sprs_508207_teacher_932,7,12/12/2008,1/26/2007
sprs_508207_class_607,sprs_508207_subject_552,sprs_508207_teacher_837,6,4/30/2008,8/16/2004
sprs_508207_class_401,sprs_508207_subject_355,sprs_508207_teacher_222,9,4/11/2008,1/11/2010
sprs_508207_class_647,sprs_508207_subject_785,sprs_508207_teacher_881,10,11/3/2010,2/25/2015
sprs_508207_class_576,sprs_508207_subject_318,sprs_508207_teacher_027,7,8/24/2005,10/15/2013
sprs_508207_class_879,sprs_508207_subject_036,sprs_508207_teacher_089,10,5/12/2014,3/28/2011
sprs_508207_class_603,sprs_508207_subject_487,sprs_508207_teacher_146,9,10/4/2002,8/11/2012
sprs_508207_class_993,sprs_508207_subject_846,sprs_508207_teacher_486,8,5/7/2015,2/7/2004
